iter	Logloss
0	0.6491456988
1	0.6106096875
2	0.5804627637
3	0.552256144
4	0.5262192283
5	0.5008076976
6	0.4812963525
7	0.4620362671
8	0.4461814429
9	0.4303348526
10	0.4142073707
11	0.4011999002
12	0.3907485315
13	0.3808039161
14	0.3710193112
15	0.3641415343
16	0.3554514308
17	0.3492317878
18	0.3419544234
19	0.3378270874
20	0.3330130696
21	0.3283114499
22	0.3239310163
23	0.3201538171
24	0.315788311
25	0.3126069457
26	0.3092978357
27	0.3057001916
28	0.3022072975
29	0.2991090416
30	0.2959411244
31	0.2933312863
32	0.2905582809
33	0.2879578854
34	0.2855462398
35	0.2836844401
36	0.2817867125
37	0.2802803458
38	0.2789353388
39	0.2775255232
40	0.2758792653
41	0.2738899045
42	0.2723049082
43	0.2712591023
44	0.2696151544
45	0.2678186889
46	0.2662825368
47	0.2651202173
48	0.2637659475
49	0.2622806138
50	0.2609587915
51	0.2596496711
52	0.2586388506
53	0.2575307989
54	0.2563464248
55	0.2553938372
56	0.254241748
57	0.2530719279
58	0.2521841485
59	0.2512767731
60	0.2504818806
61	0.2497337681
62	0.24921566
63	0.2486779014
64	0.2478278519
65	0.2471225643
66	0.2460822147
67	0.2452863327
68	0.2446291652
69	0.2441226196
70	0.2435059477
71	0.2430224209
72	0.2425473586
73	0.2417466798
74	0.2411925105
75	0.2405901336
76	0.2401958938
77	0.2396339528
78	0.2391088724
79	0.2386577373
80	0.2381252776
81	0.2376816832
82	0.2371224856
83	0.2367068938
84	0.2362257738
85	0.2358506866
86	0.2353571319
87	0.2350399756
88	0.2345352318
89	0.2341770415
90	0.2338436563
91	0.2334749991
92	0.2331382796
93	0.2327619515
94	0.2323786755
95	0.2318463628
96	0.2314194999
97	0.2310563603
98	0.2307502688
99	0.2303961046
100	0.230022844
101	0.2297031654
102	0.2294196435
103	0.2291325408
104	0.2288105731
105	0.2285877908
106	0.228258956
107	0.2279334537
108	0.2276412401
109	0.2272000843
110	0.2268865495
111	0.2265965192
112	0.2262775228
113	0.2260244011
114	0.2257122679
115	0.2253909998
116	0.225147118
117	0.2249142152
118	0.2246985371
119	0.2245074071
120	0.2240693922
121	0.2237190154
122	0.2234510093
123	0.2231865556
124	0.2229539478
125	0.2226710095
126	0.2224127261
127	0.2220662014
128	0.2217771637
129	0.2214826994
130	0.2212394182
131	0.2210140324
132	0.2207578541
133	0.2205362759
134	0.2202804292
135	0.2198814272
136	0.2196994919
137	0.2194757965
138	0.2193013758
139	0.2190885873
140	0.2189097533
141	0.218723018
142	0.2184286103
143	0.2181665679
144	0.2179186788
145	0.2177320915
146	0.2174924116
147	0.2173068984
148	0.2171508252
149	0.216930518
150	0.216716525
151	0.2164227096
152	0.2162450113
153	0.2160501922
154	0.2159058329
155	0.2157259419
156	0.2155017163
157	0.2152952455
158	0.2151336448
159	0.2149782266
160	0.2148205517
161	0.2145280788
162	0.2143882179
163	0.2142610403
164	0.2140179524
165	0.213814173
166	0.2136148897
167	0.213392281
168	0.2132505527
169	0.2131111007
170	0.2128181794
171	0.2126904714
172	0.2125587368
173	0.2124089298
174	0.2122403635
175	0.2120656942
176	0.2119170639
177	0.2117388088
178	0.2116221524
179	0.2113572326
180	0.2111645669
181	0.2109675145
182	0.2108600032
183	0.2107253129
184	0.2105936957
185	0.2104134486
186	0.2102394534
187	0.2100739135
188	0.2098811882
189	0.2096840651
190	0.2095742827
191	0.2093933597
192	0.2092936263
193	0.2091520371
194	0.2090294367
195	0.2087620858
196	0.2085897449
197	0.2084737937
198	0.2083127447
199	0.2081942366
200	0.2080460998
201	0.2078812098
202	0.2077162866
203	0.2075444344
204	0.2073538115
205	0.2071502049
206	0.2070268509
207	0.2068994496
208	0.2067448695
209	0.2065783724
210	0.2064239795
211	0.2062622226
212	0.2061054855
213	0.2059758095
214	0.2058472725
215	0.2057411161
216	0.2056177316
217	0.2055131568
218	0.2053109236
219	0.2051210472
220	0.2050150179
221	0.2048696321
222	0.2047564613
223	0.2045702022
224	0.2043844993
225	0.2042178146
226	0.2040663135
227	0.2038889265
228	0.203723812
229	0.2036068178
230	0.2034364873
231	0.2032606394
232	0.2031261796
233	0.2030278698
234	0.2028343209
235	0.2026513938
236	0.2024713694
237	0.2023085895
238	0.2021511795
239	0.2020726987
240	0.2019721922
241	0.2018519408
242	0.2017535716
243	0.2016000123
244	0.2014523203
245	0.2012981919
246	0.2011665391
247	0.2010464932
248	0.2009584354
249	0.2007994885
250	0.2006916386
251	0.2005698642
252	0.2004703201
253	0.2003717264
254	0.2002435348
255	0.2001518153
256	0.2000233568
257	0.1999195972
258	0.1997331602
259	0.1996326527
260	0.1995294735
261	0.1994020371
262	0.1993022823
263	0.1992134135
264	0.1990397602
265	0.1988914621
266	0.1987142809
267	0.1986045412
268	0.1985107721
269	0.1983983054
270	0.1982932762
271	0.1982043425
272	0.1980817861
273	0.1979394546
274	0.1977888377
275	0.1976715616
276	0.1975992391
277	0.1975133826
278	0.1974172402
279	0.1972705988
280	0.1971625842
281	0.1970421574
282	0.1969777476
283	0.1968278506
284	0.1967335252
285	0.1965934473
286	0.1965180692
287	0.1963887417
288	0.1962734443
289	0.1961663213
290	0.1960556205
291	0.1959291466
292	0.1957482022
293	0.1956445085
294	0.1954603946
295	0.1953445146
296	0.1952729449
297	0.1951620609
298	0.195075079
299	0.194896531
300	0.1947851478
301	0.1946854626
302	0.1945783337
303	0.1944601936
304	0.1943392878
305	0.1942124815
306	0.1940271336
307	0.193939623
308	0.1938370224
309	0.1937497895
310	0.1936377668
311	0.1935561648
312	0.1934768521
313	0.1933423152
