iter	Passed	Remaining
0	50	50090
1	52	26234
2	55	18329
3	57	14308
4	59	11886
5	62	10274
6	64	9138
7	66	8294
8	69	7649
9	72	7145
10	74	6728
11	77	6387
12	80	6097
13	83	5858
14	85	5646
15	88	5466
16	91	5319
17	94	5179
18	97	5048
19	100	4936
20	103	4831
21	106	4734
22	109	4641
23	111	4554
24	114	4478
25	118	4433
26	121	4371
27	124	4308
28	126	4248
29	129	4189
30	132	4152
31	136	4142
32	139	4096
33	142	4053
34	145	4015
35	148	3976
36	152	3965
37	155	3939
38	158	3904
39	161	3870
40	164	3838
41	167	3831
42	171	3817
43	174	3792
44	177	3773
45	181	3754
46	185	3760
47	188	3740
48	191	3719
49	194	3698
50	197	3683
51	201	3682
52	205	3668
53	208	3649
54	211	3630
55	214	3613
56	217	3596
57	220	3582
58	223	3570
59	226	3555
60	229	3540
61	232	3524
62	236	3512
63	239	3501
64	242	3494
65	246	3483
66	249	3469
67	252	3456
68	255	3442
69	258	3429
70	261	3418
71	264	3407
72	267	3396
73	270	3387
74	273	3376
75	276	3366
76	279	3355
77	282	3342
78	285	3330
79	288	3317
80	291	3304
81	294	3292
82	296	3279
83	299	3266
84	302	3253
85	305	3241
86	307	3230
87	310	3217
88	313	3206
89	316	3195
90	318	3184
91	321	3172
92	324	3161
93	327	3152
94	329	3143
95	332	3133
96	335	3121
97	338	3111
98	340	3102
99	343	3092
100	346	3083
101	349	3073
102	351	3063
103	354	3054
104	357	3044
105	360	3037
106	362	3028
107	365	3020
108	368	3014
109	372	3015
110	375	3008
111	378	3004
112	382	2998
113	384	2991
114	387	2983
115	390	2978
116	393	2972
117	397	2969
118	400	2963
119	403	2955
120	406	2951
121	409	2944
122	411	2936
123	414	2929
124	417	2922
125	420	2915
126	423	2908
127	425	2901
128	428	2894
129	431	2886
130	434	2880
131	437	2875
132	440	2870
133	443	2864
134	446	2861
135	449	2855
136	452	2850
137	455	2844
138	458	2838
139	461	2831
140	463	2825
141	466	2818
142	469	2812
143	472	2806
144	474	2799
145	478	2798
146	481	2791
147	483	2784
148	486	2778
149	489	2772
150	491	2766
151	494	2759
152	497	2753
153	500	2747
154	502	2740
155	505	2734
156	508	2728
157	510	2722
158	513	2715
159	516	2709
160	518	2703
161	521	2697
162	524	2691
163	526	2685
164	529	2680
165	532	2675
166	535	2669
167	537	2663
168	540	2658
169	543	2652
170	546	2647
171	548	2642
172	551	2636
173	554	2631
174	557	2626
175	559	2620
176	563	2619
177	567	2618
178	569	2613
179	572	2608
180	575	2604
181	578	2600
182	581	2595
183	584	2591
184	587	2587
185	590	2585
186	593	2582
187	596	2577
188	599	2573
189	602	2568
190	605	2563
191	608	2559
192	610	2554
193	613	2550
194	616	2545
195	619	2540
196	622	2536
197	624	2531
198	627	2526
199	630	2521
200	633	2517
201	636	2513
202	639	2508
203	641	2504
204	644	2499
205	647	2495
206	650	2490
207	652	2485
208	655	2481
209	658	2477
210	661	2472
211	664	2468
212	666	2464
213	669	2459
214	672	2455
215	675	2450
216	677	2445
217	680	2441
218	683	2436
219	685	2431
220	688	2427
221	691	2422
222	693	2417
223	696	2414
224	699	2410
225	702	2405
226	705	2401
227	708	2397
228	710	2393
229	713	2388
230	716	2384
231	718	2379
232	721	2375
233	724	2370
234	726	2366
235	729	2362
236	732	2358
237	735	2354
238	737	2349
239	740	2345
240	743	2341
241	746	2336
242	748	2332
243	751	2329
244	754	2324
245	757	2320
246	759	2316
247	762	2312
248	765	2308
249	768	2304
250	770	2299
251	773	2295
252	776	2292
253	779	2289
254	782	2284
255	784	2280
256	787	2276
257	790	2273
258	793	2270
259	796	2266
260	799	2263
261	802	2259
262	805	2256
263	808	2255
264	811	2251
265	814	2248
266	817	2245
267	821	2242
268	824	2241
269	827	2238
270	830	2234
271	833	2231
272	836	2228
273	839	2224
274	842	2221
275	845	2217
276	848	2213
277	850	2209
278	853	2206
279	856	2202
280	859	2198
281	862	2194
282	864	2191
283	867	2187
284	870	2183
285	873	2179
286	875	2175
287	878	2171
288	881	2168
289	883	2164
290	886	2160
291	889	2156
292	892	2152
293	894	2148
294	897	2145
295	900	2141
296	903	2138
297	905	2134
298	908	2130
299	911	2126
300	914	2122
301	916	2119
302	919	2115
303	922	2111
304	925	2107
305	927	2104
306	930	2100
307	933	2097
308	936	2094
309	939	2090
310	942	2087
311	944	2083
312	947	2079
313	950	2076
314	953	2072
315	955	2068
316	958	2065
317	961	2061
318	964	2058
319	966	2054
320	969	2050
321	972	2047
322	975	2043
323	978	2042
324	981	2039
325	984	2035
326	987	2032
327	990	2029
328	993	2026
329	996	2022
330	998	2018
331	1001	2015
332	1005	2013
333	1007	2009
334	1010	2006
335	1013	2002
336	1016	1999
337	1019	1996
338	1022	1993
339	1025	1990
340	1028	1986
341	1031	1984
342	1034	1981
343	1038	1980
344	1041	1977
345	1044	1974
346	1047	1970
347	1049	1967
348	1053	1965
349	1057	1963
350	1060	1960
351	1063	1956
352	1066	1954
353	1070	1952
354	1073	1950
355	1076	1947
356	1079	1944
357	1082	1941
358	1086	1940
359	1089	1937
360	1093	1935
361	1096	1932
362	1099	1929
363	1103	1928
364	1106	1925
365	1109	1922
366	1112	1919
367	1115	1916
368	1119	1913
369	1122	1910
370	1125	1907
371	1127	1903
372	1130	1900
373	1133	1897
374	1136	1894
375	1139	1891
376	1142	1887
377	1145	1884
378	1147	1881
379	1150	1877
380	1153	1874
381	1156	1870
382	1159	1867
383	1161	1863
384	1164	1860
385	1167	1856
386	1170	1853
387	1172	1849
388	1175	1846
389	1178	1842
390	1180	1839
391	1183	1835
392	1186	1832
393	1189	1829
394	1191	1825
395	1194	1821
396	1197	1818
397	1199	1815
398	1202	1811
399	1205	1808
400	1208	1804
401	1210	1801
402	1213	1797
403	1216	1794
404	1219	1791
405	1221	1787
406	1224	1784
407	1227	1780
408	1230	1777
409	1233	1774
410	1235	1771
411	1238	1767
412	1241	1764
413	1243	1760
414	1246	1757
415	1249	1753
416	1252	1750
417	1254	1747
418	1257	1743
419	1260	1740
420	1262	1736
421	1265	1733
422	1268	1730
423	1271	1727
424	1274	1724
425	1276	1720
426	1279	1717
427	1282	1714
428	1285	1710
429	1288	1707
430	1290	1703
431	1293	1700
432	1296	1697
433	1299	1695
434	1302	1691
435	1305	1688
436	1307	1685
437	1310	1681
438	1313	1678
439	1316	1676
440	1319	1672
441	1322	1669
442	1326	1667
443	1329	1665
444	1332	1662
445	1335	1658
446	1338	1655
447	1340	1652
448	1343	1649
449	1346	1645
450	1349	1643
451	1352	1639
452	1355	1636
453	1358	1633
454	1361	1630
455	1365	1628
456	1368	1625
457	1371	1622
458	1374	1619
459	1377	1616
460	1380	1613
461	1383	1610
462	1386	1607
463	1389	1604
464	1392	1601
465	1394	1598
466	1398	1595
467	1401	1592
468	1403	1589
469	1406	1586
470	1409	1583
471	1412	1579
472	1415	1576
473	1417	1573
474	1420	1570
475	1423	1567
476	1426	1563
477	1429	1560
478	1432	1557
479	1434	1554
480	1437	1551
481	1440	1547
482	1442	1544
483	1445	1541
484	1448	1537
485	1450	1534
486	1453	1531
487	1456	1528
488	1458	1524
489	1461	1521
490	1464	1518
491	1467	1514
492	1469	1511
493	1472	1508
494	1475	1505
495	1477	1501
496	1480	1498
497	1483	1495
498	1486	1492
499	1488	1488
500	1491	1485
501	1494	1482
502	1496	1479
503	1499	1475
504	1502	1472
505	1505	1469
506	1507	1466
507	1510	1462
508	1513	1459
509	1515	1456
510	1518	1453
511	1521	1449
512	1523	1446
513	1526	1443
514	1529	1440
515	1531	1436
516	1534	1433
517	1537	1430
518	1539	1427
519	1542	1423
520	1545	1420
521	1548	1418
522	1551	1415
523	1554	1411
524	1557	1408
525	1560	1406
526	1563	1402
527	1565	1399
528	1568	1396
529	1570	1392
530	1573	1389
531	1576	1386
532	1580	1384
533	1583	1381
534	1586	1378
535	1589	1375
536	1592	1373
537	1595	1370
538	1598	1367
539	1601	1364
540	1604	1361
